"content","score","appId","lang","label"
"Après la dernière mise jour, l'application fonctionne mal. Perte d'orientation de l'indicateur de marche qui indique un mouvement de marche inverse de la direction réelle. Plus d'enregistrement de piste. Sur une plus 5, l'application fonctionne bien ! Sur le One plus 6, elle est défectueuse. Le problème n'existe pas avec View ranger","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"L enregistrement des pistes ne fonctionne pas malgré le fait que le gps se positionne correctement. Je regrette mon achat","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Cela fait plusieurs années que j'ai la version Pro... J'en étais très satisfait... Jusqu'à ce jour !!! Je pouvais suivre une trace dans encombres ... Mais là, ça ne fait que beuguer !! Impossible de suivre une trace ! Je ne sais pas si les modérateurs ont modifié quelque chose ou laissé de côté les évolutions et mises à jour, mais de la.note de 5 étoiles, je passe à 1seule étoile !!! Cette appli ne me.sert plus à rien du tout ! ,","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"La version gratuite me semblait bonne. J'ai payé pour la version pro cette application, qui ne fonctionne tout simplent pas (reste bloquée à l'ouverture). J'ai signalé le bug. Pas de réaction. Désinstallation.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"cette appli a beaucoup de fonctions mais qui ne marchent que écran allumé. La fonction enregistrement de piste ne permet pas d'enregistrer de trace en fonction de paramètres comme distance.... Je regrette d'avoir acheté la version pro. Je vais désinstaller car le développeur ne comprends pas mes demandes.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Je trouve qu'il y a un manque de visibilité du coup réel de l'application que comprend l'abonnement+ les téléchargements des cartes sont t'elles payantes en plus ?","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Aucun avantage par rapport à l'application gratuite. La version pro n'est pas du tout ergonomique, on passe un temps fou à chercher les fonctions, ça ne fonctionne plus hors réseau. Bref passez votre chemin. Marc","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Nul. Après achat, impossible de l'ouvrir car la licence n'est pas reconnue. Même pas pu tester ! J'espère que le remboursement fonctionne mieux.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Acheté, fonctionnait approximativement, ne fonctionne plus. Les cartes sont téléchargées mais ne sont plus affichées, ni sur Samsung note 9, ni mon Samsung A20.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Ne fonctionne plus depuis la dernière mise à jour.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Ne fait pas ce qu'ils disent cheminement point par point comme open runner.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Je veux avant de partir faire mon itineraire...je trouve pas ?","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Je n'arrive pas à l'utiliser. Perdu ?","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"déçu de cette application, quand j utilise le mode enregistrement l application plante régulièrement pendant l enregistrement de la trace du coup je me retrouve avec des portions de tout droit.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Toujours le même problème avec la version 1.36.6. Ok, appli fonctionne. Autre problème remarqué le mardi 7 mai. J'ai voulu faire un enregistrement de piste et je n'ai pas eu le fenêtre permettant de sélectionner le profit avant le démarrage (cocher dans les paramètres). À la fin de l'enregistrement, je n'ai pas eu la fenêtre des options d'exportation (cocher dans les paramètres) et je ne trouve pas la trace sur le smartphone. Samsung S7 android v 8.0.0","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Me rembourser svp","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Vous dites dans la version normale que en prenant la pro on n'a un guidage vocal ! Ben non il n'en n'est rien !!!!!","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Après la dernière mise jour, l'application fonctionne mal. Perte d'orientation de l'indicateur de marche qui indique un mouvement de marche inverse de la direction réelle. Plus d'enregistrement de piste. Sur une plus 5, l'application fonctionne bien ! Sur le One plus 6, elle est défectueuse. Le problème n'existe pas avec View ranger","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"L enregistrement des pistes ne fonctionne pas malgré le fait que le gps se positionne correctement. Je regrette mon achat","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Je trouve qu'il y a un manque de visibilité du coup réel de l'application que comprend l'abonnement+ les téléchargements des cartes sont t'elles payantes en plus ?","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Je n'arrive pas à l'utiliser. Perdu ?","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"La version gratuite me semblait bonne. J'ai payé pour la version pro cette application, qui ne fonctionne tout simplent pas (reste bloquée à l'ouverture). J'ai signalé le bug. Pas de réaction. Désinstallation.","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Je veux avant de partir faire mon itineraire...je trouve pas ?","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Aucun avantage par rapport à l'application gratuite. La version pro n'est pas du tout ergonomique, on passe un temps fou à chercher les fonctions, ça ne fonctionne plus hors réseau. Bref passez votre chemin. Marc","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
"Cela fait plusieurs années que j'ai la version Pro... J'en étais très satisfait... Jusqu'à ce jour !!! Je pouvais suivre une trace dans encombres ... Mais là, ça ne fait que beuguer !! Impossible de suivre une trace ! Je ne sais pas si les modérateurs ont modifié quelque chose ou laissé de côté les évolutions et mises à jour, mais de la.note de 5 étoiles, je passe à 1seule étoile !!! Cette appli ne me.sert plus à rien du tout ! ,","1","com.vecturagames.android.app.gpxviewer.pro","fr","negative"
